iter	Logloss
0	0.6870874471
1	0.6808508398
2	0.6750160805
3	0.6690440445
4	0.6631710857
5	0.6575282553
6	0.6521342447
7	0.6468522542
8	0.6411690028
9	0.6363445813
10	0.631184063
11	0.6264224314
12	0.6214474186
13	0.6166802948
14	0.6122006797
15	0.6076048588
16	0.6034466607
17	0.5994090744
18	0.5953566334
19	0.5916262408
20	0.5878205638
21	0.5846688089
22	0.5812160145
23	0.5773035399
24	0.5736745838
25	0.5705922693
26	0.5671675816
27	0.5637355576
28	0.5606671626
29	0.5574304588
30	0.554409422
31	0.5516037877
32	0.5490057191
33	0.5463237255
34	0.5437356247
35	0.5410566945
36	0.5384385758
37	0.535989165
38	0.5335167645
39	0.531318361
40	0.5288575212
41	0.5265515708
42	0.5244356146
43	0.5223871139
44	0.5204815551
45	0.5185023155
46	0.5165260801
47	0.514574787
48	0.5126529654
49	0.5108428293
50	0.5089492607
51	0.5070627697
52	0.5053553998
53	0.5035402394
54	0.5019532679
55	0.5003252541
56	0.4989585979
57	0.4972529401
58	0.4956642428
59	0.4941615851
60	0.4928027189
61	0.4913197482
62	0.4900060243
63	0.4886296273
64	0.4873586663
65	0.4861887551
66	0.4850406894
67	0.483826203
68	0.4824910745
69	0.4814736536
70	0.4803318819
71	0.4790588644
72	0.4778581535
73	0.476710076
74	0.4756037657
75	0.4745122037
76	0.4734510539
77	0.4724825443
78	0.4714731781
79	0.470410674
80	0.4695828106
81	0.4686342346
82	0.4677116899
83	0.4668869153
84	0.4659547272
85	0.4650233229
86	0.4641264058
87	0.463395993
88	0.462623559
89	0.461859356
90	0.4610739317
91	0.4602665466
92	0.459544073
93	0.458823385
94	0.4581532269
95	0.4574603762
96	0.4567038062
97	0.4560691798
98	0.4554038977
99	0.4547503018
100	0.4540639715
101	0.4534225781
102	0.4527732974
103	0.4521934692
104	0.4515856255
105	0.4510390706
106	0.4505780297
107	0.4500229049
108	0.4494247054
109	0.4489105397
110	0.4483177884
111	0.4478373615
112	0.4472512969
113	0.4467356257
114	0.446226805
115	0.4456429969
116	0.4451411636
117	0.4446772719
118	0.4441963304
119	0.4437073323
120	0.4432944478
121	0.4428409477
122	0.4424076084
123	0.4420517205
124	0.4415697729
125	0.4411836483
126	0.4407379475
127	0.4403114363
128	0.4399214933
129	0.4395994122
130	0.4392264643
131	0.4389053625
132	0.4385386202
133	0.4382150595
134	0.4378764627
135	0.4375570356
136	0.4372260801
137	0.4368821114
138	0.4365325444
139	0.4362027216
140	0.435867018
141	0.435518064
142	0.4352264211
143	0.4349342042
144	0.4346281526
145	0.4342947198
146	0.4340108503
147	0.4336853367
148	0.4333761538
149	0.4330921701
150	0.43279833
151	0.4325443109
152	0.432289173
153	0.4319967977
154	0.4317116274
155	0.4314832141
156	0.4312127161
157	0.4309181815
158	0.4306428904
159	0.4304072063
160	0.4301771716
161	0.4299015966
162	0.4296889604
163	0.4294142523
164	0.429163816
165	0.4289583028
166	0.428711799
167	0.4284911896
168	0.4282659244
169	0.4280402297
170	0.4278157438
171	0.4276054831
172	0.4274006505
173	0.4271868835
174	0.4270013102
175	0.4268140369
176	0.4266229643
177	0.4264527986
178	0.4262353845
179	0.4260169177
180	0.4258364919
181	0.4256594208
182	0.4254636422
183	0.4252802985
184	0.4250680718
185	0.4248963529
186	0.4247055945
187	0.424550119
188	0.4244020322
189	0.4242430492
190	0.4241021467
191	0.4239513746
192	0.4237757159
193	0.4236442407
194	0.4234841561
195	0.4233520653
196	0.4231840838
197	0.4230441955
198	0.4229000946
199	0.4227184314
200	0.4225704496
201	0.4224423054
202	0.4223149433
203	0.4221572683
204	0.4219977633
205	0.421871744
206	0.4217322192
207	0.4215982251
208	0.4214388228
209	0.4212744017
210	0.4211587385
211	0.4210294533
212	0.4208546467
213	0.4207050487
214	0.4205558889
215	0.4204281225
216	0.4202797815
217	0.4201363296
218	0.4200036433
219	0.4198720015
220	0.4197475681
221	0.4196162894
222	0.4194977664
223	0.4193722091
224	0.4192675134
225	0.4191488379
226	0.4190182138
227	0.4189292508
228	0.4188066339
229	0.4186865946
230	0.4185674872
231	0.4184464284
232	0.4183488
233	0.418238044
234	0.4181454876
235	0.4180233681
236	0.4179271326
237	0.4178339311
238	0.4177071054
239	0.4175982822
240	0.4174866544
241	0.4173842184
242	0.4172700391
243	0.417163994
244	0.4170588065
245	0.4169453642
246	0.4168650813
247	0.4167741407
248	0.4166718233
249	0.4165917576
250	0.4164980682
251	0.416417114
252	0.4163170072
253	0.4162154304
254	0.4161300511
255	0.4160459035
256	0.4159542901
257	0.415860892
258	0.4157815792
259	0.4157069418
260	0.4156144097
261	0.4155278171
262	0.4154460803
263	0.4153537185
264	0.4152748067
265	0.415198457
266	0.4151305693
267	0.4150565472
268	0.4149772219
269	0.4148999563
270	0.4148050408
271	0.4147270583
272	0.4146340068
273	0.4145359529
274	0.4144714433
275	0.414394428
276	0.4143282706
277	0.4142632481
278	0.4141838495
279	0.4141181051
280	0.4140533367
281	0.4139792822
282	0.4139010608
283	0.4138250705
284	0.4137466943
285	0.4136878393
286	0.4136041657
287	0.4135362377
288	0.4134446298
289	0.413379517
290	0.4132864971
291	0.4132282985
292	0.4131663036
293	0.4130903223
294	0.4130045802
295	0.4129290194
296	0.4128728147
297	0.4128140598
298	0.4127419727
299	0.4126816486
300	0.412623162
301	0.4125595359
302	0.4124993035
303	0.4124400674
304	0.4123743262
305	0.4123180278
306	0.4122385008
307	0.412175052
308	0.4121205187
309	0.4120591704
310	0.4120038317
311	0.4119460669
312	0.4119012671
313	0.4118529722
314	0.4117900163
315	0.4117198616
316	0.4116545012
317	0.411588566
318	0.4115313718
319	0.4114780235
320	0.4114273619
321	0.411369304
322	0.411308548
323	0.4112494695
324	0.4111970328
325	0.4111348193
326	0.4110707688
327	0.4110162308
328	0.4109533197
329	0.4109093395
330	0.4108520633
331	0.4108041853
332	0.4107496152
333	0.4106913208
334	0.4106339241
335	0.4105682693
336	0.4105102054
337	0.4104613316
338	0.4104128981
339	0.4103420809
340	0.4102914849
341	0.4102427037
342	0.4101725137
343	0.4101284413
344	0.4100760853
345	0.4100211245
346	0.4099717666
347	0.4099104463
348	0.4098478405
349	0.4098062954
350	0.4097520825
351	0.4096979615
352	0.4096474999
353	0.4096093104
354	0.4095552087
355	0.4095061318
356	0.4094539894
357	0.4094175915
358	0.4093704063
359	0.4093208489
360	0.409254811
361	0.4091996658
362	0.4091421352
363	0.4090969153
364	0.4090548281
365	0.4090028979
366	0.4089520015
367	0.4089022457
368	0.4088473827
369	0.4088053621
370	0.4087675424
371	0.4086913799
372	0.4086446838
373	0.4086099211
374	0.4085520676
375	0.4085133481
376	0.4084657824
377	0.40842342
378	0.4083962867
379	0.408350907
380	0.4083062394
381	0.40826132
382	0.4082182287
383	0.4081651525
384	0.4081218042
385	0.4080704486
386	0.4080297286
387	0.4079798694
388	0.4079315687
389	0.4078907528
390	0.4078535031
391	0.4078051706
392	0.4077612959
393	0.4077123775
394	0.4076684919
395	0.4076097123
396	0.4075693447
397	0.4075236713
398	0.4074845896
399	0.4074525691
400	0.407414263
401	0.407367715
402	0.4073287935
403	0.4072990234
404	0.4072681784
405	0.4072340946
406	0.4071875867
407	0.4071446574
408	0.4071107006
409	0.4070784473
410	0.4070482093
411	0.4070066466
412	0.40697199
413	0.4069403789
414	0.4069061981
415	0.4068758623
416	0.4068266659
417	0.4067975866
418	0.4067604592
419	0.4067140653
420	0.4066765644
421	0.4066358449
422	0.4066018544
423	0.4065601345
424	0.4065361551
425	0.4064975959
426	0.4064655606
427	0.4064275818
428	0.4063902965
429	0.406355957
430	0.4063102609
431	0.406262601
432	0.4062235818
433	0.4061788308
434	0.406139721
435	0.4060995988
436	0.4060685828
437	0.4060315811
438	0.4060038739
439	0.4059678779
440	0.4059315067
441	0.4058920395
442	0.4058552392
443	0.4058210833
444	0.4057786199
445	0.405743365
446	0.4057105619
447	0.4056873656
448	0.4056539074
449	0.4055991835
450	0.4055618118
451	0.4055255523
452	0.4054835303
453	0.4054473405
454	0.4054186424
