iter	Passed	Remaining
0	158	635114
1	301	602609
2	455	607506
3	588	588073
4	762	608970
5	914	609039
6	1078	615353
7	1275	636505
8	1451	643443
9	1592	635476
10	1722	624616
11	1851	615363
12	1980	607340
13	2080	592212
14	2225	591313
15	2342	583351
16	2537	594551
17	2656	587580
18	2749	576152
19	2860	569315
20	2977	564157
21	3079	556764
22	3166	547460
23	3283	543891
24	3376	536881
25	3489	533425
26	3598	529531
27	3737	530240
28	3825	523783
29	3919	518640
30	3996	511623
31	4085	506551
32	4167	500996
33	4238	494403
34	4328	490405
35	4400	484499
36	4482	480136
37	4576	477111
38	4670	474318
39	4773	472584
40	4903	473501
41	4962	467621
42	5054	465149
43	5128	461137
44	5215	458406
45	5288	454567
46	5354	450318
47	5436	447572
48	5494	443049
49	5592	441795
50	5665	438703
51	5720	434321
52	5791	431319
53	5880	429695
54	5961	427568
55	6063	427025
56	6115	423027
57	6177	419872
58	6243	417046
59	6311	414474
60	6378	411904
61	6440	409054
62	6505	406548
63	6570	404088
64	6635	401693
65	6709	399904
66	6767	397277
67	6835	395264
68	6915	393990
69	6961	390818
70	7008	387827
71	7084	386525
72	7148	384551
73	7248	384568
74	7306	382389
75	7366	380359
76	7428	378458
77	7492	376760
78	7547	374624
79	7608	372794
80	7686	371889
81	7748	370242
82	7796	367939
83	7861	366496
84	7932	365351
85	7991	363701
86	8052	362199
87	8097	359983
88	8167	358896
89	8222	357210
90	8301	356586
91	8374	355735
92	8442	354680
93	8494	352972
94	8544	351214
95	8598	349675
96	8661	348494
97	8725	347411
98	8786	346241
99	8857	345429
100	8911	344023
101	8971	342862
102	9024	341442
103	9098	340828
104	9161	339861
105	9219	338703
106	9271	337310
107	9327	336149
108	9393	335314
109	9474	335048
110	9554	334734
111	9623	334064
112	9678	332937
113	9725	331512
114	9781	330441
115	9862	330213
116	9918	329169
117	9964	327830
118	10039	327408
119	10091	326294
120	10154	325541
121	10229	325161
122	10284	324155
123	10340	323220
124	10410	322724
125	10458	321572
126	10516	320723
127	10601	320708
128	10674	320313
129	10732	319498
130	10798	318923
131	10866	318414
132	10925	317661
133	10979	316777
134	11040	316076
135	11100	315394
136	11158	314646
137	11212	313795
138	11264	312907
139	11326	312279
140	11391	311771
141	11440	310824
142	11500	310194
143	11567	309744
144	11634	309310
145	11708	309067
146	11780	308764
147	11844	308286
148	11905	307703
149	11954	306828
150	12020	306409
151	12076	305714
152	12120	304747
153	12181	304220
154	12237	303568
155	12303	303181
156	12362	302599
157	12417	301948
158	12484	301587
159	12534	300836
160	12595	300328
161	12671	300198
162	12732	299716
163	12802	299442
164	12864	299004
165	12938	298821
166	13009	298604
167	13074	298217
168	13147	298034
169	13216	297754
170	13276	297293
171	13355	297245
172	13420	296879
173	13500	296851
174	13579	296813
175	13626	296069
176	13686	295613
177	13750	295241
178	13809	294782
179	13866	294276
180	13937	294065
181	14017	294057
182	14063	293328
183	14133	293121
184	14210	293042
185	14283	292886
186	14347	292547
187	14416	292317
188	14485	292085
189	14553	291840
190	14629	291744
191	14679	291153
192	14733	290630
193	14807	290501
194	14861	289993
195	14914	289463
196	14959	288791
197	15020	288421
198	15079	288027
199	15141	287697
200	15196	287216
201	15274	287183
202	15359	287288
203	15417	286884
204	15469	286379
205	15581	286962
206	15659	286942
207	15737	286907
